"","Species","Longitude","Latitude","optional"
"2:36","Populus_tremuloides",-101.42,25.2299999456691,TRUE
"2:37","Populus_tremuloides",-100.51,25.259999945701,TRUE
"2:38","Populus_tremuloides",-100.52,25.259999945701,TRUE
"2:39","Populus_tremuloides",-100.53,25.259999945701,TRUE
"2:40","Populus_tremuloides",-100.49,25.259999945701,TRUE
"2:41","Populus_tremuloides",-100.58,25.2699999457117,TRUE
"2:42","Populus_tremuloides",-100.52,25.2899999457331,TRUE
"2:43","Populus_tremuloides",-100.28,25.339999945787,TRUE
"2:44","Populus_tremuloides",-100.52,25.3499999457978,TRUE
"2:45","Populus_tremuloides",-100.38,25.3699999458196,TRUE
"2:46","Populus_tremuloides",-100.49,25.3899999458414,TRUE
"2:47","Populus_tremuloides",-100.77,25.4099999458632,TRUE
"2:48","Populus_tremuloides",-100.84,25.4699999459295,TRUE
"2:49","Populus_tremuloides",-99.57,25.4799999459405,TRUE
"2:50","Populus_tremuloides",-107.05,25.959999946496,TRUE
"2:51","Populus_tremuloides",-107.06,25.959999946496,TRUE
"2:52","Populus_tremuloides",-106.4,25.9999999465442,TRUE
"2:53","Populus_tremuloides",-106.1,25.9999999465442,TRUE
"2:54","Populus_tremuloides",-106.2,26.0999999466663,TRUE
"2:55","Populus_tremuloides",-107.11,26.2799999468903,TRUE
"2:56","Populus_tremuloides",-106.1,26.3999999470431,TRUE
"2:57","Populus_tremuloides",-106.28,26.5999999473033,TRUE
"2:58","Populus_tremuloides",-107.53,27.2199999481537,TRUE
"2:59","Populus_tremuloides",-107.53,27.229999948168,TRUE
"2:60","Populus_tremuloides",-107.54,27.2999999482682,TRUE
"2:61","Populus_tremuloides",-107.54,27.5899999486913,TRUE
"2:62","Populus_tremuloides",-107.64,27.7399999489153,TRUE
"2:63","Populus_tremuloides",-107.97,27.9699999492655,TRUE
"2:64","Populus_tremuloides",-107.85,28.119999949498,TRUE
"2:65","Populus_tremuloides",-108.38,28.1899999496077,TRUE
"2:66","Populus_tremuloides",-107.32,28.8799999507247,TRUE
"2:67","Populus_tremuloides",-108.14,29.1799999512296,TRUE
"2:68","Populus_tremuloides",-106.5,29.1999999512637,TRUE
"2:69","Populus_tremuloides",-103.31,29.2399999513321,TRUE
"2:70","Populus_tremuloides",-103.3,29.2499999513491,TRUE
"2:71","Populus_tremuloides",-108.26,29.669999952078,TRUE
"2:72","Populus_tremuloides",-108.24,29.669999952078,TRUE
"2:73","Populus_tremuloides",-110.88,30.429999953446,TRUE
"2:74","Populus_tremuloides",-104.13,30.6099999537785,TRUE
"2:75","Populus_tremuloides",-104.17,30.6299999538156,TRUE
"2:76","Populus_tremuloides",-104.12,30.6499999538528,TRUE
"2:77","Populus_tremuloides",-110.31,30.9099999543392,TRUE
"2:78","Populus_tremuloides",-109.95,30.9399999543957,TRUE
"2:79","Populus_tremuloides",-115.42,30.9499999544145,TRUE
"2:80","Populus_tremuloides",-115.59,30.9799999544712,TRUE
"2:81","Populus_tremuloides",-115.59,30.9799999544712,TRUE
"2:82","Populus_tremuloides",-110.43,30.9799999544712,TRUE
"2:83","Populus_tremuloides",-115.48,30.9799999544712,TRUE
"2:84","Populus_tremuloides",-115.48,31.0399999545846,TRUE
"2:85","Populus_tremuloides",-115.51,31.0599999546224,TRUE
"2:86","Populus_tremuloides",-115.59,31.0799999546603,TRUE
"2:87","Populus_tremuloides",-104.85,31.9299999563003,TRUE
"2:88","Populus_tremuloides",-110.79,32.4499999573277,TRUE
"2:89","Populus_tremuloides",-109.87,32.669999957767,TRUE
"2:90","Populus_tremuloides",-109.93,32.7099999578471,TRUE
"2:91","Populus_tremuloides",-109.89,32.7099999578471,TRUE
"2:92","Populus_tremuloides",-105.71,32.7099999578471,TRUE
