"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"14","PQH_0.5","PQH",0.5,0.898,0.86709004574577,0.00762541374248404,0.042177847775423,0.00757470577208351,0.265460592695091,0.0793575978569373,0.0295050304130993,0.00209846333163909,38578.7991997564,2636.88344866563,0,116,"",119
"15","LPQH_0.5","LPQH",0.5,0.8981,0.868250260799533,0.0081011683754045,0.042177847775423,0.00757470577208351,0.266132635705843,0.0790474640241119,0.0295050304130993,0.00209846333163909,38568.5642669499,2626.64851585912,0,112,"",116
"16","L_1","L",1,0.8264,0.7758699748119,0.0424363971504413,0.0716143977542746,0.0479411504548498,0.315797154717634,0.147321855151112,0.0107238605898123,0.000158126630680879,37653.003628375,1711.08787728423,0,10,"",106
"17","P_1","P",1,0.8833,0.884929930777768,0.0148490182591119,0.0326588578956464,0.0127906219134162,0.213859220502176,0.0987682950314525,0.00871313672922252,0.000303675006648506,36213.3590537627,271.443302671949,1.1294999241868e-59,28,"",63
"18","Q_1","Q",1,0.8568,0.847872135799533,0.00860968630569192,0.027746363530092,0.00651221821612109,0.158292254028655,0.0282736747894423,0.00536193029490617,0.00011500118594973,36677.7488221744,735.833071083631,1.62903070163311e-160,8,"",95
"19","H_1","H",1,0.8936,0.874139299381648,0.00932269722115328,0.0399781994270847,0.00683303601170724,0.255390757877137,0.0799831671401902,0.024798927613941,0.00245994724320595,35953.495968767,11.5802176762663,0.00302996867135076,77,"",3
"20","LP_1","LP",1,0.883,0.884305093743694,0.0150248009062699,0.0330290583799962,0.0130822384472346,0.210499005448413,0.10041662215084,0.00871313672922252,0.000303675006648506,36233.1932116118,291.277460521058,5.5712616157451e-64,34,"",64
"21","LQ_1","LQ",1,0.8744,0.86566764662429,0.0160517235209024,0.0358846179324646,0.0154420988649076,0.241391363256364,0.0912179498761694,0.00268096514745308,2.87502964874325e-05,36406.355199414,464.439448323232,1.39413767485773e-101,19,"",76
"22","LH_1","LH",1,0.8935,0.87382529827539,0.00885035581479439,0.0393087203071709,0.00666139950430225,0.250699068869094,0.0768355823580186,0.024798927613941,0.00245994724320595,35957.0943756883,15.178624597509,0.000501249558759658,78,"",6
"23","PQ_1","PQ",1,0.8846,0.884358503506155,0.0177246533680079,0.0356176615779532,0.0152131967391407,0.213176367148087,0.115277395656564,0.00670241286863271,0.000179689353046453,36183.0901024402,241.174351349466,4.22382068097532e-53,30,"",61
"24","PH_1","PH",1,0.8934,0.874628523901669,0.00901590280203026,0.0390394836321918,0.00660442520554042,0.250697267145205,0.0782359550591456,0.024798927613941,0.00245994724320595,35955.5324052881,13.6166541973289,0.0010945398202406,79,"",4
