"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"108","Q_4","Q",4,0.744,0.7193764,0.0277601899338475,0.0664415833333333,0.0176659418726947,0.1598,0.02260112,6e-04,1.44e-06,137637.310726094,2605.1194266981,0,7,"",112
"109","H_4","H",4,0.7956,0.73354418,0.0167163464058624,0.0726411833333333,0.026918745724867,0.219,0.05948176,0.0034,4.624e-05,135793.663703383,761.472403987631,4.45008520125654e-166,45,"",64
"110","LP_4","LP",4,0.7658,0.71920582,0.0165957119062863,0.0708147733333334,0.020850218999873,0.1578,0.01636368,0.0034,4.624e-05,137110.771781181,2078.58048178538,0,14,"",99
"111","LQ_4","LQ",4,0.7467,0.711687,0.0263207469632725,0.0727003633333333,0.0217488922279002,0.1692,0.0248970666666667,0.0026,2.704e-05,137536.940529184,2504.74922978858,0,8,"",109
"112","LH_4","LH",4,0.7956,0.73358231,0.0167658251609123,0.0726923,0.0269705264182329,0.2184,0.0591790933333333,0.0034,4.624e-05,135793.663703383,761.472403987631,4.45008520125654e-166,45,"",65
"113","PQ_4","PQ",4,0.7645,0.71673557,0.0214123259580492,0.0769336666666667,0.0247011510153971,0.1746,0.02401296,0.0034,4.624e-05,137121.19724191,2089.00594251431,0,14,"",100
"114","PH_4","PH",4,0.796,0.73244925,0.0186201479166022,0.0787453166666667,0.0284599477978541,0.22,0.0594862933333333,0.0046,8.464e-05,135792.048421347,759.857121951558,9.97981207894604e-166,52,"",63
"115","QH_4","QH",4,0.7955,0.73452051,0.0163281197706892,0.0714871533333333,0.0263328724290782,0.2192,0.05746816,0.0038,5.776e-05,135794.5855739,762.394274504593,2.80663984706652e-166,48,"",66
"116","LPQ_4","LPQ",4,0.7642,0.71677545,0.0214687825135482,0.0769908,0.0246911958673132,0.1752,0.0242077866666667,0.0034,4.624e-05,137127.089067947,2094.89776855169,0,14,"",101
"117","LPH_4","LPH",4,0.7961,0.7345006,0.0184668551652714,0.0771696133333333,0.0279685605235285,0.2166,0.0599109866666667,0.0046,8.464e-05,135786.845818467,754.654519071279,1.34540558062766e-164,50,"",61
"118","LQH_4","LQH",4,0.7956,0.73472279,0.0164254578949237,0.0715152366666667,0.0263611359105389,0.2188,0.0573565866666667,0.0038,5.776e-05,135801.366806179,769.175506783678,9.45498419313083e-168,50,"",68
"119","PQH_4","PQH",4,0.796,0.7340001,0.0181879978867684,0.07652157,0.0278488899341111,0.2192,0.0593949866666667,0.0044,7.744e-05,135782.580464109,750.389164712979,1.13517588159839e-163,48,"",60
"120","LPQH_4","LPQH",4,0.7958,0.73412398,0.0180595586270357,0.07660639,0.027846294212886,0.2184,0.05858432,0.0044,7.744e-05,135791.014280523,758.822981127421,1.67372148194002e-165,49,"",62
